kinase,residue_count,motion_correlation,rmsd_improvement,rmsd_prediction_target
EGFR,270,0.23550087406457607,0.010145329207080778,4.402006150457425
EGFR,283,0.10646636017216458,0.04114395831254525,3.6977520075707124
EGFR,277,0.13979146846727125,0.06158154409337335,5.009418785022782
EGFR,271,0.15898075746753543,-0.00591401974632344,1.5781673873411668
EGFR,269,0.1071228541652132,0.07916663272190272,1.9099379904023202
EGFR,266,0.045648444743142225,0.01346231007564791,1.6453796412654054
EGFR,268,0.13888793047215206,0.12766729659711418,2.078254415074855
EGFR,266,-0.01611838908045763,0.007333072543644681,1.5520211205366183
EGFR,275,0.13342661102695744,0.08285133052694693,5.197412775187361
EGFR,277,0.13067475527978636,0.04764790105168615,5.079674608857736
EGFR,270,0.08159002215718501,0.004589336163867586,2.3401499555722167
EGFR,275,0.1962756392762493,0.06366482575338672,4.661894922196588
EGFR,292,0.26614769880416433,0.03616772818163927,4.907130735379008
EGFR,278,0.22306077240731967,0.03253805073675142,4.062643234324097
EGFR,283,0.18658971179680678,-0.02587890693646111,3.882722504961622
EGFR,273,0.12994704390730322,-0.03702237820609122,2.273782887776355
EGFR,279,0.18308980719061355,-0.023112969246337656,3.9101146929777615
EGFR,275,0.1439070954747942,0.037888100197182695,4.109281187535886
EGFR,269,0.2263346124965602,0.05442106073431674,4.251025763345184
EGFR,288,0.1664862551559213,-0.04159310845061892,4.406533555362991
EGFR,269,0.11566355892794776,0.02319007604949519,2.529106175530117
EGFR,276,0.25898744306952837,0.0660233867475748,5.4707527347290785
EGFR,270,0.12177106909652,0.06595919103764558,1.4785621500051924
EGFR,269,0.055169170098742996,0.03477549018797088,1.8946612335357396
EGFR,296,0.26235992671023034,0.1318707317592187,3.87631690952841
EGFR,263,0.1731662574639302,0.0471972787508701,6.113860175989872
EGFR,279,0.21661934463201282,0.09325091446504441,3.8829316771977695
EGFR,255,0.18141523640676213,-0.03011868206958912,5.0741145792778415
EGFR,285,0.19577196223950172,0.09671473659680974,3.5018045334979626
EGFR,275,0.18201748042135496,0.03232499761071894,2.558767856144185
EGFR,274,0.14154344819699935,0.014306007893245543,2.60506787111843
EGFR,288,0.16506950376078222,-0.037408779185253316,4.335080522055253
EGFR,272,0.15778254909603298,-0.032999558617599956,2.3343665779518523
EGFR,269,0.1815647705097159,-0.0420397577595959,3.1474116872597344
EGFR,273,0.11832877170602228,0.03891030524118033,2.9923436937617347
