representation,model,protocol,train_samples,test_samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
distance_matrix,logistic_regression,within_kinase_stratified,646,217,0.9308755760368663,0.9324795779441797,0.9711538461538461,0.8938053097345132,0.9308755760368663,0.9663886997957793
ca_coordinates,logistic_regression,within_kinase_stratified,646,217,0.9308755760368663,0.9320966643975493,0.9622641509433962,0.9026548672566371,0.9315068493150684,0.9679203539823008
ca_coordinates,random_forest,within_kinase_stratified,646,217,0.9262672811059908,0.9272889720898569,0.9532710280373832,0.9026548672566371,0.9272727272727272,0.965793056501021
coordinates_distances,logistic_regression,within_kinase_stratified,646,217,0.9216589861751152,0.9232471068754255,0.9615384615384616,0.8849557522123894,0.9216589861751152,0.9630701157249831
coordinates_distances,small_mlp,within_kinase_stratified,646,217,0.9216589861751152,0.9220983662355344,0.9363636363636364,0.911504424778761,0.9237668161434978,0.9686861810755616
local_geometry,small_mlp,within_kinase_stratified,646,217,0.9124423963133641,0.9132488087134105,0.9351851851851852,0.8938053097345132,0.9140271493212669,0.9480088495575222
ca_coordinates,xgboost,within_kinase_stratified,646,217,0.9078341013824884,0.9080582028590878,0.918918918918919,0.9026548672566371,0.9107142857142857,0.964857045609258
local_geometry,logistic_regression,within_kinase_stratified,646,217,0.8894009216589862,0.8895932607215793,0.9009009009009009,0.8849557522123894,0.8928571428571429,0.9357556160653506
ca_coordinates,small_mlp,within_kinase_stratified,646,217,0.8847926267281107,0.8855513955071477,0.9074074074074074,0.8672566371681416,0.8868778280542986,0.9352450646698434
dfg_alphac,small_mlp,within_kinase_stratified,646,217,0.8755760368663594,0.8767018379850238,0.9056603773584906,0.8495575221238938,0.8767123287671232,0.91643975493533
alphac_only,xgboost,within_kinase_stratified,646,217,0.8571428571428571,0.8570881552076242,0.8660714285714286,0.8584070796460177,0.8622222222222222,0.9195456092579987
dfg_only,small_mlp,within_kinase_stratified,646,217,0.8525345622119815,0.8545779441797141,0.900990099009901,0.8053097345132744,0.8504672897196262,0.8771698434309053
dfg_alphac,logistic_regression,within_kinase_stratified,646,217,0.8433179723502304,0.8445796460176991,0.8761904761904762,0.8141592920353983,0.8440366972477065,0.9001872021783526
alphac_only,random_forest,within_kinase_stratified,646,217,0.8387096774193549,0.8405377808032675,0.8823529411764706,0.7964601769911505,0.8372093023255814,0.9229067392784206
dfg_only,logistic_regression,within_kinase_stratified,646,217,0.815668202764977,0.8187968005445883,0.8842105263157894,0.7433628318584071,0.8076923076923077,0.8771698434309053
alphac_only,logistic_regression,within_kinase_stratified,646,217,0.7188940092165899,0.7186010891763104,0.7321428571428571,0.7256637168141593,0.7288888888888889,0.7230258679373722
alphac_only,small_mlp,within_kinase_stratified,646,217,0.7142857142857143,0.7145592239618788,0.7339449541284404,0.7079646017699115,0.7207207207207207,0.747362151123213
